  # it time dt v sum(n_e) sum(n_i) max(E) x y max(n_e) x y max(E_r) x y wc_time n_cells min(dx) highest(lvl)
     1  0.00000000E+00  0.64081046E-11  0.00000000E+00  0.61359232E+08  0.18431834E+10  0.82710872E+07  0.30517578E-05  0.96099854E-02  0.10000000E+14  0.70800781E-02  0.94238281E-02  0.68487727E+07  0.39672852E-03  0.10003662E-01  0.16100000E-06       28864  0.61035156E-05  9
     2  0.10000000E-08  0.58074403E-11  0.18310547E+06  0.19853859E+10  0.37673122E+10  0.10421779E+08  0.30517578E-05  0.94268799E-02  0.27574539E+20  0.30517578E-05  0.95184326E-02  0.59468998E+07  0.39367676E-03  0.96832275E-02  0.95403140E+00       30976  0.61035156E-05  9
     3  0.20000000E-08  0.23134887E-11  0.34332614E+06  0.65779342E+10  0.83601709E+10  0.14129285E+08  0.15258789E-05  0.90835571E-02  0.83015255E+20  0.15258789E-05  0.91384888E-02  0.79038405E+07  0.26702881E-03  0.92300415E-02  0.35070160E+01       38080  0.30517578E-05 10
     4  0.30000000E-08  0.20045984E-11  0.39062500E+06  0.12572711E+11  0.14354955E+11  0.16638893E+08  0.15258789E-05  0.86929321E-02  0.13787220E+21  0.15258789E-05  0.87387085E-02  0.10088710E+08  0.21514893E-03  0.88150024E-02  0.72238617E+01       42880  0.30517578E-05 10
     5  0.40000000E-08  0.19680788E-11  0.43029785E+06  0.20386950E+11  0.22169198E+11  0.16677347E+08  0.15258789E-05  0.82626343E-02  0.14382038E+21  0.61035156E-05  0.85510254E-02  0.11241277E+08  0.23651123E-03  0.84182739E-02  0.11654461E+02       45184  0.30517578E-05 10
     6  0.50000000E-08  0.20162688E-11  0.42114258E+06  0.28956204E+11  0.30738471E+11  0.16229535E+08  0.15258789E-05  0.78414917E-02  0.14277971E+21  0.61035156E-05  0.85510254E-02  0.10923142E+08  0.25787354E-03  0.80123901E-02  0.16415621E+02       50560  0.30517578E-05 10
     7  0.60000000E-08  0.20245035E-11  0.43029785E+06  0.37887649E+11  0.39669941E+11  0.16241960E+08  0.15258789E-05  0.74111938E-02  0.14199537E+21  0.61035156E-05  0.85510254E-02  0.10662115E+08  0.26397705E-03  0.75851440E-02  0.21531862E+02       53632  0.30517578E-05 10
     8  0.70000000E-08  0.20219842E-11  0.44555664E+06  0.47621776E+11  0.49404147E+11  0.16247622E+08  0.15258789E-05  0.69656372E-02  0.14129167E+21  0.61035156E-05  0.85510254E-02  0.10644982E+08  0.27008057E-03  0.71426392E-02  0.26929438E+02       55552  0.30517578E-05 10
     9  0.80000000E-08  0.20301993E-11  0.46691895E+06  0.58553520E+11  0.60335887E+11  0.16151821E+08  0.15258789E-05  0.64987183E-02  0.14061428E+21  0.61035156E-05  0.85510254E-02  0.10582773E+08  0.27923584E-03  0.66787720E-02  0.32528534E+02       57472  0.30517578E-05 10
    10  0.90000000E-08  0.20444120E-11  0.48828125E+06  0.70902110E+11  0.72684491E+11  0.16047804E+08  0.15258789E-05  0.60104370E-02  0.13993798E+21  0.61035156E-05  0.85510254E-02  0.10480945E+08  0.29449463E-03  0.61996460E-02  0.38400871E+02       61696  0.30517578E-05 10
